file, #v, #vu, #vf, #c-u, #c2, #v2, #c3, #v3, #c4, #v4, #c5, #v5
Benchmarks/Blasted_Real/blasted_case100.cnf, 72, 3, 0, 130, 82, 64, 48, 52, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case101.cnf, 72, 3, 0, 130, 82, 64, 48, 52, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case17.cnf, 77, 7, 0, 166, 90, 63, 76, 66, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case23.cnf, 77, 7, 0, 166, 90, 63, 76, 66, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 93, 5, 0, 207, 102, 74, 105, 63, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case59.cnf, 93, 5, 0, 207, 102, 74, 105, 63, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case64.cnf, 93, 5, 0, 207, 102, 74, 105, 63, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case58.cnf, 96, 5, 0, 219, 104, 75, 115, 66, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case63.cnf, 96, 5, 0, 219, 104, 75, 115, 66, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case4.cnf, 103, 9, 0, 229, 118, 82, 111, 89, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case11.cnf, 105, 4, 0, 289, 104, 77, 185, 91, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case43.cnf, 116, 3, 0, 357, 102, 73, 255, 105, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case45.cnf, 116, 3, 0, 357, 102, 73, 255, 105, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case7.cnf, 116, 3, 0, 280, 143, 101, 137, 107, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case47.cnf, 118, 4, 0, 260, 137, 101, 123, 107, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case21.cnf, 126, 31, 0, 253, 116, 79, 137, 86, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case22.cnf, 126, 31, 0, 253, 116, 79, 137, 86, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case51.cnf, 132, 3, 0, 341, 188, 112, 153, 111, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case52.cnf, 132, 3, 0, 341, 188, 112, 153, 111, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case53.cnf, 132, 3, 0, 341, 188, 112, 153, 111, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case124.cnf, 133, 4, 0, 284, 167, 118, 117, 105, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case112.cnf, 137, 3, 0, 421, 124, 92, 297, 126, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case38.cnf, 143, 3, 0, 453, 129, 97, 324, 134, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case55.cnf, 149, 4, 0, 371, 192, 119, 179, 126, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case8.cnf, 160, 3, 0, 407, 190, 136, 217, 147, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case105.cnf, 170, 3, 0, 351, 146, 130, 205, 157, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case44.cnf, 173, 3, 0, 568, 139, 100, 429, 163, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case46.cnf, 176, 3, 0, 577, 145, 103, 432, 166, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case5.cnf, 176, 3, 0, 415, 203, 158, 212, 162, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case68.cnf, 178, 5, 0, 451, 202, 144, 249, 164, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case1.cnf, 187, 11, 0, 558, 186, 124, 372, 165, 0, 0, 0, 0
Benchmarks/V3/s344_3_2.cnf, 197, 3, 0, 451, 342, 194, 109, 180, 0, 0, 0, 0
Benchmarks/V3/s349_3_2.cnf, 198, 3, 0, 456, 344, 195, 112, 181, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case201.cnf, 200, 3, 0, 502, 238, 146, 264, 185, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case202.cnf, 200, 3, 0, 502, 238, 146, 264, 185, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case56.cnf, 202, 11, 0, 609, 188, 126, 421, 177, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case54.cnf, 203, 12, 0, 609, 188, 126, 421, 177, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case106.cnf, 204, 4, 0, 418, 208, 162, 210, 159, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case108.cnf, 205, 17, 0, 696, 120, 76, 576, 179, 0, 0, 0, 0
Benchmarks/V3/s298_3_2.cnf, 205, 3, 0, 497, 372, 202, 125, 173, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case133.cnf, 211, 3, 0, 464, 282, 199, 182, 187, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case136.cnf, 211, 3, 0, 464, 282, 199, 182, 187, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case203.cnf, 214, 3, 0, 536, 248, 155, 288, 202, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case204.cnf, 214, 3, 0, 536, 248, 155, 288, 202, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case205.cnf, 214, 3, 0, 536, 248, 155, 288, 202, 0, 0, 0, 0
Benchmarks/V7/s344_7_4.cnf, 215, 7, 0, 519, 354, 201, 165, 194, 0, 0, 0, 0
Benchmarks/V7/s349_7_4.cnf, 216, 7, 0, 524, 356, 202, 168, 195, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case145.cnf, 219, 4, 0, 468, 216, 174, 252, 196, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case146.cnf, 219, 4, 0, 468, 216, 174, 252, 196, 0, 0, 0, 0
Benchmarks/V7/s298_7_4.cnf, 223, 7, 0, 565, 384, 209, 181, 190, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case132.cnf, 236, 7, 0, 582, 272, 207, 310, 226, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case135.cnf, 236, 7, 0, 582, 272, 207, 310, 226, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_1_b14_1.cnf, 238, 13, 0, 580, 280, 181, 300, 207, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf, 238, 13, 0, 580, 280, 181, 300, 207, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf, 238, 13, 0, 580, 280, 181, 300, 207, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case109.cnf, 241, 19, 0, 787, 168, 105, 619, 210, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case39.cnf, 245, 3, 0, 563, 244, 201, 319, 222, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case40.cnf, 245, 3, 0, 563, 244, 201, 319, 222, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case41.cnf, 245, 3, 0, 563, 244, 201, 319, 222, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case14.cnf, 247, 3, 0, 541, 255, 204, 286, 240, 0, 0, 0, 0
Benchmarks/V3/s382_3_2.cnf, 263, 3, 0, 622, 474, 260, 148, 217, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case119.cnf, 267, 12, 0, 652, 274, 192, 378, 224, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case123.cnf, 267, 3, 0, 730, 307, 225, 423, 240, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_1_b14_2.cnf, 270, 32, 0, 604, 316, 197, 288, 202, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_2_b14_2.cnf, 270, 32, 0, 604, 316, 197, 288, 202, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf, 270, 32, 0, 604, 316, 197, 288, 202, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case9.cnf, 279, 20, 0, 579, 285, 219, 294, 255, 0, 0, 0, 0
Benchmarks/V7/s382_7_4.cnf, 281, 7, 0, 690, 486, 267, 204, 234, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case61.cnf, 282, 35, 0, 544, 266, 206, 278, 226, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case120.cnf, 284, 14, 0, 703, 286, 199, 417, 236, 0, 0, 0, 0
Benchmarks/V15/s344_15_7.cnf, 284, 15, 0, 779, 370, 209, 409, 256, 0, 0, 0, 0
Benchmarks/V15/s349_15_7.cnf, 285, 15, 0, 784, 372, 210, 412, 257, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case110.cnf, 287, 3, 0, 972, 237, 197, 735, 277, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case57.cnf, 288, 3, 0, 842, 282, 225, 560, 273, 0, 0, 0, 0
Benchmarks/V3/s444_3_2.cnf, 290, 3, 0, 698, 528, 287, 170, 248, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case121.cnf, 291, 3, 0, 765, 320, 240, 445, 279, 0, 0, 0, 0
Benchmarks/V15/s298_15_7.cnf, 292, 15, 0, 825, 400, 217, 425, 254, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case62.cnf, 291, 3, 0, 847, 286, 228, 561, 275, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case3.cnf, 294, 13, 0, 961, 255, 169, 706, 263, 0, 0, 0, 0
Benchmarks/V3/s420_3_2.cnf, 294, 3, 0, 681, 516, 291, 165, 283, 0, 0, 0, 0
Benchmarks/V3/s420_new1_3_2.cnf, 294, 3, 0, 681, 516, 291, 165, 283, 0, 0, 0, 0
Benchmarks/V3/s420_new_3_2.cnf, 294, 3, 0, 681, 516, 291, 165, 283, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case15.cnf, 296, 3, 0, 666, 281, 232, 385, 288, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case2.cnf, 296, 15, 0, 961, 255, 169, 706, 263, 0, 0, 0, 0
Benchmarks/V3/s510_3_2.cnf, 298, 3, 0, 755, 542, 295, 213, 282, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case126.cnf, 302, 3, 0, 834, 356, 256, 478, 275, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_1_b14_3.cnf, 304, 44, 0, 649, 370, 235, 279, 196, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_2_b14_3.cnf, 304, 44, 0, 649, 370, 235, 279, 196, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf, 304, 44, 0, 649, 370, 235, 279, 196, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case111.cnf, 306, 3, 0, 1044, 250, 209, 794, 296, 0, 0, 0, 0
Benchmarks/V7/s444_7_4.cnf, 308, 7, 0, 766, 540, 294, 226, 265, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case113.cnf, 309, 3, 0, 1051, 252, 211, 799, 298, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case117.cnf, 309, 3, 0, 1051, 252, 211, 799, 298, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case118.cnf, 309, 3, 0, 1051, 252, 211, 799, 298, 0, 0, 0, 0
Benchmarks/V7/s420_7_4.cnf, 312, 7, 0, 749, 528, 298, 221, 297, 0, 0, 0, 0
Benchmarks/V7/s420_new1_7_4.cnf, 312, 7, 0, 749, 528, 298, 221, 297, 0, 0, 0, 0
Benchmarks/V7/s420_new_7_4.cnf, 312, 7, 0, 749, 528, 298, 221, 297, 0, 0, 0, 0
Benchmarks/polynomial.sk_7_25.cnf, 313, 66, 1, 823, 268, 160, 555, 241, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case122.cnf, 314, 3, 0, 909, 351, 265, 558, 293, 0, 0, 0, 0
Benchmarks/V7/s510_7_4.cnf, 316, 7, 0, 823, 554, 302, 269, 298, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case10.cnf, 328, 20, 0, 704, 311, 247, 393, 303, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case6.cnf, 329, 12, 0, 763, 405, 299, 358, 273, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_0_b11_1.cnf, 340, 44, 0, 744, 366, 258, 378, 250, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf, 340, 44, 0, 744, 366, 258, 378, 250, 0, 0, 0, 0
Benchmarks/V15/s510_15_7.cnf, 340, 15, 0, 903, 570, 310, 333, 314, 0, 0, 0, 0
Benchmarks/V15/s382_15_7.cnf, 350, 15, 0, 950, 502, 275, 448, 298, 0, 0, 0, 0
Benchmarks/V15/s420_new_15_7.cnf, 351, 15, 0, 889, 544, 306, 345, 328, 0, 0, 0, 0
Benchmarks/V3/s526_3_2.cnf, 365, 3, 0, 930, 678, 362, 252, 329, 0, 0, 0, 0
Benchmarks/V15/s420_15_7.cnf, 366, 15, 0, 949, 544, 306, 405, 343, 0, 0, 0, 0
Benchmarks/V15/s420_new1_15_7.cnf, 366, 15, 0, 949, 544, 306, 405, 343, 0, 0, 0, 0
Benchmarks/V3/s526a_3_2.cnf, 366, 3, 0, 931, 680, 363, 251, 329, 0, 0, 0, 0
Benchmarks/registerlesSwap.sk_3_10.cnf, 372, 142, 1, 884, 335, 160, 549, 228, 0, 0, 0, 0
Benchmarks/V15/s444_15_7.cnf, 377, 15, 0, 1026, 556, 302, 470, 327, 0, 0, 0, 0
Benchmarks/V7/s526_7_4.cnf, 383, 7, 0, 998, 690, 369, 308, 345, 0, 0, 0, 0
Benchmarks/V7/s526a_7_4.cnf, 384, 7, 0, 999, 692, 370, 307, 345, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case125.cnf, 393, 4, 0, 1130, 437, 330, 693, 364, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case19.cnf, 397, 11, 0, 938, 499, 358, 439, 348, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case20.cnf, 397, 11, 0, 938, 499, 358, 439, 348, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case35.cnf, 400, 3, 0, 1112, 489, 324, 623, 371, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case34.cnf, 409, 3, 0, 1207, 454, 325, 753, 378, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_0_b12_1.cnf, 427, 70, 0, 1015, 498, 299, 517, 323, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case143.cnf, 427, 37, 0, 1363, 326, 218, 1037, 384, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_1_b12_1.cnf, 427, 70, 0, 1015, 498, 299, 517, 323, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_2_b12_1.cnf, 427, 70, 0, 1015, 498, 299, 517, 323, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case114.cnf, 428, 3, 0, 1444, 362, 293, 1082, 409, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case115.cnf, 428, 3, 0, 1444, 362, 293, 1082, 409, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case131.cnf, 432, 7, 0, 1439, 345, 269, 1094, 389, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case116.cnf, 438, 4, 0, 1462, 380, 302, 1082, 409, 0, 0, 0, 0
Benchmarks/V15/s526_15_7.cnf, 452, 15, 0, 1258, 706, 377, 552, 407, 0, 0, 0, 0
Benchmarks/V15/s526a_15_7.cnf, 453, 15, 0, 1259, 708, 378, 551, 407, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case140.cnf, 488, 4, 0, 1070, 496, 383, 574, 445, 0, 0, 0, 0
Benchmarks/V3/s641_3_2.cnf, 489, 3, 0, 1026, 866, 486, 160, 276, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring51.cnf, 496, 3, 0, 1358, 573, 427, 785, 393, 0, 0, 0, 0
Benchmarks/V7/s641_7_4.cnf, 507, 7, 0, 1094, 878, 493, 216, 290, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring50.cnf, 500, 3, 0, 1372, 577, 429, 795, 397, 0, 0, 0, 0
Benchmarks/V3/s713_3_2.cnf, 509, 3, 0, 1092, 906, 506, 186, 327, 0, 0, 0, 0
Benchmarks/V3/s953a_3_2.cnf, 515, 3, 23, 1284, 936, 489, 348, 462, 0, 0, 0, 0
Benchmarks/V7/s713_7_4.cnf, 527, 7, 0, 1160, 918, 513, 242, 341, 0, 0, 0, 0
Benchmarks/V7/s953a_7_4.cnf, 533, 7, 23, 1352, 948, 496, 404, 477, 0, 0, 0, 0
Benchmarks/FMEasy/toybox2.cnf, 544, 363, 0, 403, 306, 181, 75, 91, 22, 68, 0, 0
Benchmarks/FMEasy/toybox.cnf, 544, 363, 0, 403, 306, 181, 75, 91, 22, 68, 0, 0
Benchmarks/V15/s641_15_7.cnf, 576, 15, 0, 1354, 894, 501, 460, 354, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case18.cnf, 579, 3, 0, 1628, 606, 480, 1022, 567, 0, 0, 0, 0
Benchmarks/V15/s713_15_7.cnf, 596, 15, 0, 1420, 934, 521, 486, 402, 0, 0, 0, 0
Benchmarks/V3/s820a_3_2.cnf, 598, 3, 0, 1614, 1146, 595, 468, 579, 0, 0, 0, 0
Benchmarks/V3/s838_3_2.cnf, 598, 3, 0, 1401, 1060, 595, 341, 579, 0, 0, 0, 0
Benchmarks/V15/s953a_15_7.cnf, 602, 15, 23, 1612, 964, 504, 648, 541, 0, 0, 0, 0
Benchmarks/V3/s832a_3_2.cnf, 606, 3, 0, 1644, 1162, 603, 482, 591, 0, 0, 0, 0
Benchmarks/V7/s820a_7_4.cnf, 616, 7, 0, 1682, 1158, 602, 524, 595, 0, 0, 0, 0
Benchmarks/V7/s838_7_4.cnf, 616, 7, 0, 1469, 1072, 602, 397, 593, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case107.cnf, 618, 10, 0, 1450, 586, 498, 864, 564, 0, 0, 0, 0
Benchmarks/V7/s832a_7_4.cnf, 624, 7, 0, 1712, 1174, 610, 538, 606, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case130.cnf, 644, 25, 0, 1704, 714, 519, 990, 608, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case214.cnf, 645, 3, 0, 1697, 1036, 595, 661, 565, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case213.cnf, 648, 6, 0, 1697, 1036, 595, 661, 565, 0, 0, 0, 0
Benchmarks/V15/s820a_15_7.cnf, 685, 15, 0, 1942, 1174, 610, 768, 658, 0, 0, 0, 0
Benchmarks/V15/s838_15_7.cnf, 685, 15, 0, 1729, 1088, 610, 641, 654, 0, 0, 0, 0
Benchmarks/FMEasy/axTLS.cnf, 684, 384, 0, 1420, 475, 300, 648, 232, 271, 166, 16, 33
Benchmarks/V3/s1238a_3_2.cnf, 686, 3, 1, 1837, 1304, 682, 533, 666, 0, 0, 0, 0
Benchmarks/V3/s1196a_3_2.cnf, 690, 3, 1, 1792, 1312, 686, 480, 638, 0, 0, 0, 0
Benchmarks/V15/s832a_15_7.cnf, 693, 15, 0, 1972, 1190, 618, 782, 669, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring22.cnf, 695, 7, 0, 1799, 1026, 647, 773, 634, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring24.cnf, 695, 7, 0, 1799, 1026, 647, 773, 634, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring20.cnf, 696, 7, 0, 1806, 1025, 646, 781, 635, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring21.cnf, 697, 7, 0, 1809, 1026, 647, 783, 636, 0, 0, 0, 0
Benchmarks/V7/s1238a_7_4.cnf, 704, 7, 1, 1905, 1316, 689, 589, 681, 0, 0, 0, 0
Benchmarks/V7/s1196a_7_4.cnf, 708, 7, 1, 1860, 1324, 693, 536, 654, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring23.cnf, 710, 7, 0, 1856, 1035, 656, 821, 649, 0, 0, 0, 0
Benchmarks/GuidanceService2.sk_2_27.cnf, 715, 99, 1, 1822, 1257, 611, 554, 585, 1, 4, 0, 0
Benchmarks/Blasted_Real/blasted_case12.cnf, 737, 35, 0, 2000, 854, 594, 1146, 649, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case144.cnf, 765, 55, 0, 1922, 772, 566, 1150, 679, 0, 0, 0, 0
Benchmarks/V15/s1238a_15_7.cnf, 773, 15, 1, 2165, 1332, 697, 833, 743, 0, 0, 0, 0
Benchmarks/V15/s1196a_15_7.cnf, 777, 15, 1, 2120, 1340, 701, 780, 715, 0, 0, 0, 0
Benchmarks/V3/s1423a_3_2.cnf, 777, 3, 0, 1875, 1368, 774, 507, 722, 0, 0, 0, 0
Benchmarks/V7/s1423a_7_4.cnf, 795, 7, 0, 1943, 1380, 781, 563, 736, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf, 812, 14, 0, 2273, 845, 646, 1428, 761, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case207.cnf, 824, 3, 0, 2038, 1150, 674, 888, 785, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case208.cnf, 824, 3, 0, 2038, 1150, 674, 888, 785, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf, 827, 204, 0, 1745, 908, 547, 837, 545, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_1_b12_2.cnf, 827, 204, 0, 1745, 908, 547, 837, 545, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case_2_b12_2.cnf, 827, 204, 0, 1745, 908, 547, 837, 545, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring27.cnf, 837, 3, 0, 2434, 1080, 689, 1354, 782, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case50.cnf, 843, 3, 0, 2465, 999, 734, 1466, 803, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case139.cnf, 846, 4, 0, 1875, 890, 666, 985, 706, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring25.cnf, 846, 3, 0, 2469, 1085, 694, 1384, 791, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case138.cnf, 849, 8, 0, 2021, 836, 696, 1185, 826, 0, 0, 0, 0
Benchmarks/V3/s1488_3_2.cnf, 854, 3, 0, 2410, 1676, 851, 734, 800, 0, 0, 0, 0
Benchmarks/V15/s1423a_15_7.cnf, 864, 15, 0, 2203, 1396, 789, 807, 797, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case211.cnf, 869, 11, 0, 2560, 1197, 699, 1363, 779, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_case210.cnf, 872, 14, 0, 2560, 1197, 699, 1363, 779, 0, 0, 0, 0
Benchmarks/V7/s1488_7_4.cnf, 872, 7, 0, 2478, 1688, 858, 790, 814, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring70.cnf, 882, 3, 0, 2340, 1211, 798, 1129, 802, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring2.cnf, 885, 3, 0, 2414, 1265, 805, 1149, 836, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring3.cnf, 885, 3, 0, 2409, 1268, 807, 1141, 836, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring5.cnf, 885, 3, 0, 2409, 1268, 807, 1141, 836, 0, 0, 0, 0
Benchmarks/Blasted_Real/blasted_squaring6.cnf, 885, 3, 0, 2409, 1268, 807, 1141, 836, 0, 0, 0, 0
